word,sentiment
liikennepoliittinen,1
itkea,-1
kusinenhousut,-1
antiikkikellertävä,1
hirrrrviä,1
saanuut,1
inhoittaa,-2
jatkuvaaa,1
pikkumstaa,1
spottaamaan,1
karinenmaatikka,1
upeea,1
suurituloinenuusi,1
siirtomaaaika,1
itserakkaat,-1
itserakas,-1
järkkyuutinen,1
kurjala,-1
anukristiinaii,1
mukkaa,1
liiaallinen,1
kiukkusii,1
nuuskamuikkunen,1
polttovälinen,-1
hullu mannisen,-2
hullu manninen,-2
palkkii,1
hyväksikäytettynä,-2
hyväksiluvut,1
rauhala,1
hyväksyäpäätös,1
kokoomusvaltuuttaa,1
valehteva,-1
vapaamatkustaa,1
järkyttäviimpiin,1
huijamaan,-2
viisprosenttii,1
inhoottaa,-2
hyvämaineinen,1
oinaalaan,1
kiinteistöjalostaa,1
vakuuttuunut,1
maahanmuuttoystävällinen,1
laadukkaita,1
rauhalline,1
kuitenkkaan,1
ampununut,-1
kyyhkynenmyyjä,1
iloisiakin,1
piiskomaa,1
uusiien,1
pelaamaankaat,1
pahasuka,-1
saarimaalainen,1
hauskannnäköisiäkin,1
vittumoinen,-3
hengenvaaraalli,1
hiljaasempaa,1
shittiiii,-1
söötti,1
vihollinenmielinen,-1
vastaaava,1
aggresiivista,-2
tyrannimainen,-1
viisaanmpi,1
paras,1
vihakultturia,-1
hyväksikäyttänyt,-2
valeuskovainen,-1
halvaanut,-1
rikollis,-1
tyhmenpikin,-1
ihanaa,1
anarko poliittinen,-1
hyvvee,1
rauhavastainen,-1
pahaa,-1
surullinenkuulu,-1
huuhaariippuvainen,-1
susi ruma,-1
sutjakkaammaksi,1
paakkanen,1
ihaillaimpi,1
muussaantunut,-1
suurmpi,-2
vitttua,-3
ehostakaunis,1
lesbooo,1
spektaakkelimainen,1
kirkkaankeltainen,1
sielukas,1
inhottavii,-2
pikkuriikkinen,1
kala ystävällinen,1
pelastusarmeijalainen,1
armonhuutoskaan,1
idioottitouhuis,-2
korkkaamaton,1
lataantumaan,1
uskonnollinen rasistinen,-2
eu korruptio,-2
ennnenkuulumatonta,1
masennustaki,-1
asevoimaton,-1
hyväksikäytetty,-2
nerokkkaita,1
uudelleenliimatut,1
rikollinentoiminta,-1
pahanhintaset,-1
orjaasema,-2
kerjäläinen,-1
laadukkas,1
pahantuulinen,-1
iiiihana,2
pikkunokkela,1
vihavainen,-1
raiskaajavastainen,1
antiikkinen,1
asevastainen,1
rauhatton,-1
vastuuvakuutettu,1
kusekkaan,-2
hidasliikkeinen,1
pikkupalkkainen,1
vittumaisa,-3
piilonegatiivinen,-1
rikosvälinen,-1
kiireinen,-1
hienoa,1
huijauttu,-2
huijataa,-2
vainoo,-2
itkettanyt,-1
liikkuuaika,1
rikosatetodelliset,-1
paniikkihäiriöinen,-1
itserakkaan,-1
liberaalidemokraattinen,1
mielekiintoisempaa,1
suuruudenhullu,-2
vittutätä,-3
hyväksikäytettyjen,-2
huuhaapalstalainen,1
viisaamistakin,1
kiinnostajälleenmyynti,1
ihanaaaaaaaaaaaaaaa,2
varmaanitkin,-1
huomaakkaan,1
amoraalinen,-1
ainajumala,1
kusipäinenimpi,-1
monikulttuurisuuskriittinen,1
tiiviis,1
miettimisaikkaa,1
hyväjuurinen,1
hyväksilukua,1
laukkutyyppinen,1
tarvvii,1
mmviikko,1
upeaa,1
työtön,-1
rauhakerettiläinen,1
ihaanaa,2
vapaaehtoinenuusi,1
suurpiirteinen,1
huuhaa tyylinen,1
iiilta,1
kiinnisaamiseksi,1
mustamaalataaa,1
paatosmainenuusi,1
avioerossammetalo,-3
ilmotelkaaa,1
valett,-1
huijausaltis,-2
öyhö,-1
kuuuutonen,1
heikkilänkankaalla,1
islam rikollinen,-1
ryyppäs,1
viimeviikoisessa,1
svedu,-1
kurmuuttamaan,1
kunnolladdddddddd,1
tappaasotkevat,1
asennnevammaisia,-1
moniviikkoisen,1
vahistiko,-1
oivaltaahauskaa,1
iiiiiiihmiset,1
vajaakkutoinen,1
orjallinen,-2
fyysikaan,1
vahingos,-1
vaihdettumiss,1
valmiiksipakkaamatonta,1
pornoliikkeinen,1
aisaaa,1
otakkaa,1
paniikkihäriö,1
vahijärvenkoululla,-1
halukkaale,1
kuubaan,1
vainoharhanen,-2
hiilidioksidivapaa,1
terroripelko,-3
mamu vihamielisiä,-1
korruptiovapaa,-2
pahapäinen,-1
suurudenhulluin,-1
vaino harhainen,-2
hyväksyymaallisen,2
shiiauusi,1
poisaaolollaan,1
valtaanesiintyy,1
vihaaan,-2
hullu korhonen,-2
yystäväkin,1
vahingi,-1
pahailma,-1
riippumattotyylinen,1
mmaailmaa,1
sivutuuliherkkä,1
myydäliike,1
hyväksikäytetyiksi,-2
viimesii,1
titaanipinnoittaa,1
puolestaann,1
neukkulaa,1
sotilaallinenpoliittinen,1
antaamahdollisuus,1
talonpoikainenantiikki,1
valepukuinen,-1
halvat,-1
hyväihoinen,1
vastaavaaan,1
luulllut,1
pahannäköonen,-1
rakastua,2
manipulatiivisesta,-2
kiukkuiseeen,1
pahin,-1
rikoliset,-1
kovastikkaan,1
suukkottelen,1
logikkaan,1
verkkosukkablondi,1
mittaristossamiss,1
miteeeeee,1
länsiuusimaa,1
paffff,1
murhattu,-4
kolmiviikkoinen,1
huomeniainhottavinta,-2
pahalta,-1
sukkiksiiei,1
kauneimmaksi,1
hyvälta,1
halituksessa,1
levitttaa,1
pahailkinen,-1
vainoharhaseks,-2
kauneimmalle,1
runkkailuaan,1
paskimmassa,-1
iloton,-1
liitoskiimainen,-1
huonoliikkeinen,-1
pahinpana,-1
suurtaa,1
vikkaan,1
femakkopiirteinen,1
vanha huorapukki,-2
viisaammmat,1
musiikkian,1
tarkkaavaisuushäiriöinen,1
vakavampaaa,1
maahanmuuttotiedostava,1
pahin,-1
sieluvihollinen,1
tyhmäkai,-1
huoramiehillekkin,-2
helvettii,-1
pedofiilipervo,-4
solidaarinenuusi,1
kiusallinenolen,-1
käkkärätukkainen,1
pilkkahintainen,-1
vihanpidön,-1
suomessaihanaa,1
halvaantunuthermos,-1
pahamaine,-1
jeeeees,1
halvaantuariski,-1
rakastetaa,2
itkunsekainen,-1
suurperhheelinen,1
hyvääää,2
paskaset,-1
ohjataajaa,1
rakastajiaei,2
